# SentenceBreakProperty-6.3.0.txt
# Date: 2013-09-25, 18:59:01 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2013 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

04AD          ; Lower # L&       CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Lower # L&       CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Lower # L&       CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04B3          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH DESCENDER
04B5          ; Lower # L&       CYRILLIC SMALL LIGATURE TE TSE
04B7          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH DESCENDER
04B9          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE
04BB          ; Lower # L&       CYRILLIC SMALL LETTER SHHA
04BD          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN CHE
04BF          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04C2          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH BREVE
04C4          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH HOOK
04C6          ; Lower # L&       CYRILLIC SMALL LETTER EL WITH TAIL
04C8          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH HOOK
04CA          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH TAIL
04CC          ; Lower # L&       CYRILLIC SMALL LETTER KHAKASSIAN CHE
04CE..04CF    ; Lower # L&   [2] CYRILLIC SMALL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D1          ; Lower # L&       CYRILLIC SMALL LETTER A WITH BREVE
04D3          ; Lower # L&       CYRILLIC SMALL LETTER A WITH DIAERESIS
04D5          ; Lower # L&       CYRILLIC SMALL LIGATURE A IE
04D7          ; Lower # L&       CYRILLIC SMALL LETTER IE WITH BREVE
04D9          ; Lower # L&       CYRILLIC SMALL LETTER SCHWA
04DB          ; Lower # L&       CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
04DD          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
04DF          ; Lower # L&       CYRILLIC SMALL LETTER ZE WITH DIAERESIS
04E1          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN DZE
04E3          ; Lower # L&       CYRILLIC SMALL LETTER I WITH MACRON
04E5          ; Lower # L&       CYRILLIC SMALL LETTER I WITH DIAERESIS
04E7          ; Lower # L&       CYRILLIC SMALL LETTER O WITH DIAERESIS
04E9          ; Lower # L&       CYRILLIC SMALL LETTER BARRED O
04EB          ; Lower # L&       CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS
04ED          ; Lower # L&       CYRILLIC SMALL LETTER E WITH DIAERESIS
04EF          ; Lower # L&       CYRILLIC SMALL LETTER U WITH MACRON
04F1          ; Lower # L&       CYRILLIC SMALL LETTER U WITH DIAERESIS
04F3          ; Lower # L&       CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
04F5          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F7          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH DESCENDER
04F9          ; Lower # L&       CYRILLIC SMALL LETTER YERU WITH DIAERESIS
04FB          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK
04FD          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH HOOK
04FF          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH STROKE
0501          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DE
0503          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DJE
0505          ; Lower # L&       CYRILLIC SMALL LETTER KOMI ZJE
0507          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DZJE
0509          ; Lower # L&       CYRILLIC SMALL LETTER KOMI LJE
050B          ; Lower # L&       CYRILLIC SMALL LETTER KOMI NJE
050D          ; Lower # L&       CYRILLIC SMALL LETTER KOMI SJE
050F          ; Lower # L&       CYRILLIC SMALL LETTER KOMI TJE
0511          ; Lower # L&       CYRILLIC SMALL LETTER REVERSED ZE
0513          ; Lower # L&       CYRILLIC SMALL LETTER EL WITH HOOK
0515          ; Lower # L&       CYRILLIC SMALL LETTER LHA
0517          ; Lower # L&       CYRILLIC SMALL LETTER RHA
0519          ; Lower # L&       CYRILLIC SMALL LETTER YAE
051B          ; Lower # L&       CYRILLIC SMALL LETTER QA
051D          ; Lower # L&       CYRILLIC SMALL LETTER WE
051F          ; Lower # L&       CYRILLIC SMALL LETTER ALEUT KA
0521          ; Lower # L&       CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK
0523          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK
0525          ; Lower # L&       CYRILLIC SMALL LETTER PE WITH DESCENDER
0527          ; Lower # L&       CYRILLIC SMALL LETTER SHHA WITH DESCENDER
0561..0587    ; Lower # L&  [39] ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LIGATURE ECH YIWN
1D00..1D2B    ; Lower # L&  [44] LATIN LETTER SMALL CAPITAL A..CYRILLIC LETTER SMALL CAPITAL EL
1D2C..1D6A    ; Lower # Lm  [63] MODIFIER LETTER CAPITAL A..GREEK SUBSCRIPT SMALL LETTER CHI
1D6B..1D77    ; Lower # L&  [13] LATIN SMALL LETTER UE..LATIN SMALL LETTER TURNED G
1D78          ; Lower # Lm       MODIFIER LETTER CYRILLIC EN
1D79..1D9A    ; Lower # L&  [34] LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B..1DBF    ; Lower # Lm  [37] MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1E01          ; Lower # L&       LATIN SMALL LETTER A WITH RING BELOW
1E03          ; Lower # L&       LATIN SMALL LETTER B WITH DOT ABOVE
1E05          ; Lower # L&       LATIN SMALL LETTER B WITH DOT BELOW
1E07          ; Lower # L&       LATIN SMALL LETTER B WITH LINE BELOW
1E09          ; Lower # L&       LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
1E0B          ; Lower # L&       LATIN SMALL LETTER D WITH DOT ABOVE
1E0D          ; Lower # L&       LATIN SMALL LETTER D WITH DOT BELOW
1E0F          ; Lower # L&       LATIN SMALL LETTER D WITH LINE BELOW
1E11          ; Lower # L&       LATIN SMALL LETTER D WITH CEDILLA
1E13          ; Lower # L&       LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E15          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON AND GRAVE
1E17          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON AND ACUTE
1E19          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
1E1B          ; Lower # L&       LATIN SMALL LETTER E WITH TILDE BELOW
1E1D          ; Lower # L&       LATIN SMALL LETTER E WITH CEDILLA AND BREVE
1E1F          ; Lower # L&       LATIN SMALL LETTER F WITH DOT ABOVE
1E21          ; Lower # L&       LATIN SMALL LETTER G WITH MACRON
1E23          ; Lower # L&       LATIN SMALL LETTER H WITH DOT ABOVE
1E25          ; Lower # L&       LATIN SMALL LETTER H WITH DOT BELOW
1E27          ; Lower # L&       LATIN SMALL LETTER H WITH DIAERESIS
1E29          ; Lower # L&       LATIN SMALL LETTER H WITH CEDILLA
1E2B          ; Lower # L&       LATIN SMALL LETTER H WITH BREVE BELOW
1E2D          ; Lower # L&       LATIN SMALL LETTER I WITH TILDE BELOW
1E2F          ; Lower # L&       LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
1E31          ; Lower # L&       LATIN SMALL LETTER K WITH ACUTE
1E33          ; Lower # L&       LATIN SMALL LETTER K WITH DOT BELOW
1E35          ; Lower # L&       LATIN SMALL LETTER K WITH LINE BELOW
1E37          ; Lower # L&       LATIN SMALL LETTER L WITH DOT BELOW
1E39          ; Lower # L&       LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
1E3B          ; Lower # L&       LATIN SMALL LETTER L WITH LINE BELOW
1E3D          ; Lower # L&       LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
1E3F          ; Lower # L&       LATIN SMALL LETTER M WITH ACUTE
1E41          ; Lower # L&       LATIN SMALL LETTER M WITH DOT ABOVE
1E43          ; Lower # L&       LATIN SMALL LETTER M WITH DOT BELOW
1E45          ; Lower # L&       LATIN SMALL LETTER N WITH DOT ABOVE
1E47          ; Lower # L&       LATIN SMALL LETTER N WITH DOT BELOW
1E49          ; Lower # L&       LATIN SMALL LETTER N WITH LINE BELOW
1E4B          ; Lower # L&       LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E4D          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND ACUTE
1E4F          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
1E51          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON AND GRAVE
1E53          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON AND ACUTE
1E55          ; Lower # L&       LATIN SMALL LETTER P WITH ACUTE
1E57          ; Lower # L&       LATIN SMALL LETTER P WITH DOT ABOVE
1E59          ; Lower # L&       LATIN SMALL LETTER R WITH DOT ABOVE
1E5B          ; Lower # L&       LATIN SMALL LETTER R WITH DOT BELOW
1E5D          ; Lower # L&       LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
1E5F          ; Lower # L&       LATIN SMALL LETTER R WITH LINE BELOW
1E61          ; Lower # L&       LATIN SMALL LETTER S WITH DOT ABOVE
1E63          ; Lower # L&       LATIN SMALL LETTER S WITH DOT BELOW
1E65          ; Lower # L&       LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
1E67          ; Lower # L&       LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
1E69          ; Lower # L&       LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6B          ; Lower # L&       LATIN SMALL LETTER T WITH DOT ABOVE
1E6D          ; Lower # L&       LATIN SMALL LETTER T WITH DOT BELOW
1E6F          ; Lower # L&       LATIN SMALL LETTER T WITH LINE BELOW
1E71          ; Lower # L&       LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E73          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS BELOW
1E75          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE BELOW
1E77          ; Lower # L&       LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
1E79          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE AND ACUTE
1E7B          ; Lower # L&       LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
1E7D          ; Lower # L&       LATIN SMALL LETTER V WITH TILDE
1E7F          ; Lower # L&       LATIN SMALL LETTER V WITH DOT BELOW
1E81          ; Lower # L&       LATIN SMALL LETTER W WITH GRAVE
1E83          ; Lower # L&       LATIN SMALL LETTER W WITH ACUTE
1E85          ; Lower # L&       LATIN SMALL LETTER W WITH DIAERESIS
1E87          ; Lower # L&       LATIN SMALL LETTER W WITH DOT ABOVE
1E89          ; Lower # L&       LATIN SMALL LETTER W WITH DOT BELOW
1E8B          ; Lower # L&       LATIN SMALL LETTER X WITH DOT ABOVE
1E8D          ; Lower # L&       LATIN SMALL LETTER X WITH DIAERESIS
1E8F          ; Lower # L&       LATIN SMALL LETTER Y WITH DOT ABOVE
1E91          ; Lower # L&       LATIN SMALL LETTER Z WITH CIRCUMFLEX
1E93          ; Lower # L&       LATIN SMALL LETTER Z WITH DOT BELOW
1E95..1E9D    ; Lower # L&   [9] LATIN SMALL LETTER Z WITH LINE BELOW..LATIN SMALL LETTER LONG S WITH HIGH STROKE
1E9F          ; Lower # L&       LATIN SMALL LETTER DELTA
1EA1          ; Lower # L&       LATIN SMALL LETTER A WITH DOT BELOW
1EA3          ; Lower # L&       LATIN SMALL LETTER A WITH HOOK ABOVE
1EA5          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA7          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA9          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAB          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
1EAD          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAF          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND ACUTE
1EB1          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND GRAVE
1EB3          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
1EB5          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND TILDE
1EB7          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
1EB9          ; Lower # L&       LATIN SMALL LETTER E WITH DOT BELOW
1EBB          ; Lower # L&       LATIN SMALL LETTER E WITH HOOK ABOVE
1EBD          ; Lower # L&       LATIN SMALL LETTER E WITH TILDE
1EBF          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC1          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC3          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC5          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
1EC7          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC9          ; Lower # L&       LATIN SMALL LETTER I WITH HOOK ABOVE
1ECB          ; Lower # L&       LATIN SMALL LETTER I WITH DOT BELOW
1ECD          ; Lower # L&       LATIN SMALL LETTER O WITH DOT BELOW
1ECF          ; Lower # L&       LATIN SMALL LETTER O WITH HOOK ABOVE
1ED1          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED3          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED5          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED7          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
1ED9          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDB          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND ACUTE
1EDD          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND GRAVE
1EDF          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
1EE1          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND TILDE
1EE3          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND DOT BELOW
1EE5          ; Lower # L&       LATIN SMALL LETTER U WITH DOT BELOW
1EE7          ; Lower # L&       LATIN SMALL LETTER U WITH HOOK ABOVE
1EE9          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND ACUTE
1EEB          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND GRAVE
1EED          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
1EEF          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND TILDE
1EF1          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND DOT BELOW
1EF3          ; Lower # L&       LATIN SMALL LETTER Y WITH GRAVE
1EF5          ; Lower # L&       LATIN SMALL LETTER Y WITH DOT BELOW
1EF7          ; Lower # L&       LATIN SMALL LETTER Y WITH HOOK ABOVE
1EF9          ; Lower # L&       LATIN SMALL LETTER Y WITH TILDE
1EFB          ; Lower # L&       LATIN SMALL LETTER MIDDLE-WELSH LL
1EFD          ; Lower # L&       LATIN SMALL LETTER MIDDLE-WELSH V
1EFF..1F07    ; Lower # L&   [9] LATIN SMALL LETTER Y WITH LOOP..GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F10..1F15    ; Lower # L&   [6] GREEK SMALL LETTER EPSILON WITH PSILI..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F27    ; Lower # L&   [8] GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
1F30..1F37    ; Lower # L&   [8] GREEK SMALL LETTER IOTA WITH PSILI..GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
1F40..1F45    ; Lower # L&   [6] GREEK SMALL LETTER OMICRON WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57    ; Lower # L&   [8] GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F60..1F67    ; Lower # L&   [8] GREEK SMALL LETTER OMEGA WITH PSILI..GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
1F70..1F7D    ; Lower # L&  [14] GREEK SMALL LETTER ALPHA WITH VARIA..GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1F87    ; Lower # L&   [8] GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F90..1F97    ; Lower # L&   [8] GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FA0..1FA7    ; Lower # L&   [8] GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FB0..1FB4    ; Lower # L&   [5] GREEK SMALL LETTER ALPHA WITH VRACHY..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FB7    ; Lower # L&   [2] GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
1FBE          ; Lower # L&       GREEK PROSGEGRAMMENI
1FC2..1FC4    ; Lower # L&   [3] GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FC7    ; Lower # L&   [2] GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
1FD0..1FD3    ; Lower # L&   [4] GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FD7    ; Lower # L&   [2] GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI
1FE0..1FE7    ; Lower # L&   [8] GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI
1FF2..1FF4    ; Lower # L&   [3] GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FF7    ; Lower # L&   [2] GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
2071          ; Lower # Lm       SUPERSCRIPT LATIN SMALL LETTER I
207F          ; Lower # Lm       SUPERSCRIPT LATIN SMALL LETTER N
2090..209C    ; Lower # Lm  [13] LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCRIPT SMALL LETTER T
210A          ; Lower # L&       SCRIPT SMALL G
210E..210F    ; Lower # L&   [2] PLANCK CONSTANT..PLANCK CONSTANT OVER TWO PI
2113          ; Lower # L&       SCRIPT SMALL L
212F          ; Lower # L&       SCRIPT SMALL E
2134          ; Lower # L&       SCRIPT SMALL O
2139          ; Lower # L&       INFORMATION SOURCE
213C..213D    ; Lower # L&   [2] DOUBLE-STRUCK SMALL PI..DOUBLE-STRUCK SMALL GAMMA
2146..2149    ; Lower # L&   [4] DOUBLE-STRUCK ITALIC SMALL D..DOUBLE-STRUCK ITALIC SMALL J
214E          ; Lower # L&       TURNED SMALL F
2170..217F    ; Lower # Nl  [16] SMALL ROMAN NUMERAL ONE..SMALL ROMAN NUMERAL ONE THOUSAND
2184          ; Lower # L&       LATIN SMALL LETTER REVERSED C
24D0..24E9    ; Lower # So  [26] CIRCLED LATIN SMALL LETTER A..CIRCLED LATIN SMALL LETTER Z
2C30..2C5E    ; Lower # L&  [47] GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C61          ; Lower # L&       LATIN SMALL LETTER L WITH DOUBLE BAR
2C65..2C66    ; Lower # L&   [2] LATIN SMALL LETTER A WITH STROKE..LATIN SMALL LETTER T WITH DIAGONAL STROKE
2C68          ; Lower # L&       LATIN SMALL LETTER H WITH DESCENDER
2C6A          ; Lower # L&       LATIN SMALL LETTER K WITH DESCENDER
2C6C          ; Lower # L&       LATIN SMALL LETTER Z WITH DESCENDER
2C71          ; Lower # L&       LATIN SMALL LETTER V WITH RIGHT HOOK
2C73..2C74    ; Lower # L&   [2] LATIN SMALL LETTER W WITH HOOK..LATIN SMALL LETTER V WITH CURL
2C76..2C7B    ; Lower # L&   [6] LATIN SMALL LETTER HALF H..LATIN LETTER SMALL CAPITAL TURNED E
2C7C..2C7D    ; Lower # Lm   [2] LATIN SUBSCRIPT SMALL LETTER J..MODIFIER LETTER CAPITAL V
2C81          ; Lower # L&       COPTIC SMALL LETTER ALFA
2C83          ; Lower # L&       COPTIC SMALL LETTER VIDA
2C85          ; Lower # L&       COPTIC SMALL LETTER GAMMA
2C87          ; Lower # L&       COPTIC SMALL LETTER DALDA
2C89          ; Lower # L&       COPTIC SMALL LETTER EIE
2C8B          ; Lower # L&       COPTIC SMALL LETTER SOU
2C8D          ; Lower # L&       COPTIC SMALL LETTER ZATA
2C8F          ; Lower # L&       COPTIC SMALL LETTER HATE
2C91          ; Lower # L&       COPTIC SMALL LETTER THETHE
2C93          ; Lower # L&       COPTIC SMALL LETTER IAUDA
2C95          ; Lower # L&       COPTIC SMALL LETTER KAPA
2C97          ; Lower # L&       COPTIC SMALL LETTER LAULA
2C99          ; Lower # L&       COPTIC SMALL LETTER MI
2C9B          ; Lower # L&       COPTIC SMALL LETTER NI
2C9D          ; Lower # L&       COPTIC SMALL LETTER KSI
2C9F          ; Lower # L&       COPTIC SMALL LETTER O
2CA1          ; Lower # L&       COPTIC SMALL LETTER PI
2CA3          ; Lower # L&       COPTIC SMALL LETTER RO
2CA5          ; Lower # L&       COPTIC SMALL LETTER SIMA
2CA7          ; Lower # L&       COPTIC SMALL LETTER TAU
2CA9          ; Lower # L&       COPTIC SMALL LETTER UA
2CAB          ; Lower # L&       COPTIC SMALL LETTER FI
2CAD          ; Lower # L&       COPTIC SMALL LETTER KHI
2CAF          ; Lower # L&       COPTIC SMALL LETTER PSI
2CB1          ; Lower # L&       COPTIC SMALL LETTER OOU
2CB3          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P ALEF
2CB5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC AIN
2CB7          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC EIE
2CB9          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P KAPA
2CBB          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P NI
2CBD          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC NI
2CBF          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC OOU
2CC1          ; Lower # L&       COPTIC SMALL LETTER SAMPI
2CC3          ; Lower # L&       COPTIC SMALL LETTER CROSSED SHEI
2CC5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC SHEI
2CC7          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC ESH
2CC9          ; Lower # L&       COPTIC SMALL LETTER AKHMIMIC KHEI
2CCB          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P HORI
2CCD          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HORI
2CCF          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HA
2CD1          ; Lower # L&       COPTIC SMALL LETTER L-SHAPED HA
2CD3          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HEI
2CD5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HAT
2CD7          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC GANGIA
2CD9          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC DJA
2CDB          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC SHIMA
2CDD          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN SHIMA
2CDF          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN NGI
2CE1          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN NYI
2CE3..2CE4    ; Lower # L&   [2] COPTIC SMALL LETTER OLD NUBIAN WAU..COPTIC SYMBOL KAI
2CEC          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC SHEI
2CEE          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
2CF3          ; Lower # L&       COPTIC SMALL LETTER BOHAIRIC KHEI
2D00..2D25    ; Lower # L&  [38] GEORGIAN SMALL LETTER AN..GEORGIAN SMALL LETTER HOE
2D27          ; Lower # L&       GEORGIAN SMALL LETTER YN
2D2D          ; Lower # L&       GEORGIAN SMALL LETTER AEN
A641          ; Lower # L&       CYRILLIC SMALL LETTER ZEMLYA
A643          ; Lower # L&       CYRILLIC SMALL LETTER DZELO
A645          ; Lower # L&       CYRILLIC SMALL LETTER REVERSED DZE
A647          ; Lower # L&       CYRILLIC SMALL LETTER IOTA
A649          ; Lower # L&       CYRILLIC SMALL LETTER DJERV
A64B          ; Lower # L&       CYRILLIC SMALL LETTER MONOGRAPH UK
A64D          ; Lower # L&       CYRILLIC SMALL LETTER BROAD OMEGA
A64F          ; Lower # L&       CYRILLIC SMALL LETTER NEUTRAL YER
A651          ; Lower # L&       CYRILLIC SMALL LETTER YERU WITH BACK YER
A653          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED YAT
A655          ; Lower # L&       CYRILLIC SMALL LETTER REVERSED YU
A657          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED A
A659          ; Lower # L&       CYRILLIC SMALL LETTER CLOSED LITTLE YUS
A65B          ; Lower # L&       CYRILLIC SMALL LETTER BLENDED YUS
A65D          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED CLOSED LITTLE YUS
A65F          ; Lower # L&       CYRILLIC SMALL LETTER YN
A661          ; Lower # L&       CYRILLIC SMALL LETTER REVERSED TSE
A663          ; Lower # L&       CYRILLIC SMALL LETTER SOFT DE
A665          ; Lower # L&       CYRILLIC SMALL LETTER SOFT EL
A667          ; Lower # L&       CYRILLIC SMALL LETTER SOFT EM
A669          ; Lower # L&       CYRILLIC SMALL LETTER MONOCULAR O
A66B          ; Lower # L&       CYRILLIC SMALL LETTER BINOCULAR O
A66D          ; Lower # L&       CYRILLIC SMALL LETTER DOUBLE MONOCULAR O
A681          ; Lower # L&       CYRILLIC SMALL LETTER DWE
A683          ; Lower # L&       CYRILLIC SMALL LETTER DZWE
A685          ; Lower # L&       CYRILLIC SMALL LETTER ZHWE
A687          ; Lower # L&       CYRILLIC SMALL LETTER CCHE
A689          ; Lower # L&       CYRILLIC SMALL LETTER DZZE
